   percent,  baseline,    before,     after,,   percent,  baseline,    before,     after,,,
5,-159816.89,-159810.68,-159822.73,,5,-159682.213,-159678.675,-159627.436,,0.00%,-0.03%
5,-158489.15,-158548.22,-158504.63,,6,-159682.213,-159634.009,-159682.533,,-0.03%,0.00%
5,-159772.5,-159751.85,-159349.56,,7,-159682.213,-159675.607,-159694.286,,0.00%,0.01%
5,-162206.37,-162203.26,-162200.59,,8,-159682.213,-159666.203,-159635.412,,-0.01%,-0.03%
5,-157450.78,-157450.65,-157447.88,,9,-159682.213,-159668.009,-159635.311,,-0.01%,-0.03%
5,-157865.91,-157834.14,-157825.86,,10,-159682.213,-159626.735,-159615.487,,-0.03%,-0.04%
5,-159476,-159469.17,-159436.64,,11,-159682.213,-159662.666,-159664.406,,-0.01%,-0.01%
5,-159765.21,-159780.09,-159738.04,,12,-159682.213,-159665.46,-159633.595,,-0.01%,-0.03%
5,-162380.68,-162362.87,-162372.82,,13,-159682.213,-159676.43,-159617.225,,0.00%,-0.04%
5,-159598.64,-159575.82,-159575.61,,14,-159682.213,-159669.514,-159613.917,,-0.01%,-0.04%
6,-159816.89,-159792.92,-159815.43,,15,-159682.213,-159666.92,-159613.759,,-0.01%,-0.04%
6,-158489.15,-158488.12,-158484.73,,,,,,,,
6,-159772.5,-159353.47,-159769.03,,,,,,,,
6,-162206.37,-162205.64,-162200.71,,,,,,,0.00%,0.03%
6,-157450.78,-157443.54,-157464.82,,,,,,,0.03%,0.00%
6,-157865.91,-157857.58,-157860.53,,,,,,,0.00%,0.01%
6,-159476,-159469.37,-159470.25,,,,,,,0.01%,0.03%
6,-159765.21,-159734.05,-159765.37,,,,,,,0.01%,0.03%
6,-162380.68,-162406.15,-162404.99,,,,,,,0.03%,0.04%
6,-159598.64,-159589.25,-159589.47,,,,,,,0.01%,0.01%
7,-159816.89,-159808.93,-159808.47,,,,,,,0.01%,0.03%
7,-158489.15,-158499.41,-158484.28,,,,,,,0.00%,0.04%
7,-159772.5,-159762.54,-159334.59,,,,,,,0.01%,0.04%
7,-162206.37,-162213.44,-162204.22,,,,,,,0.01%,0.04%
7,-157450.78,-157441.01,-157441.03,,,,,,,,
7,-157865.91,-157858.01,-157858.12,,,,,,,,
7,-159476,-159470.44,-159466.88,,,,,,,,
7,-159765.21,-159755.64,-160364.96,,,,,,,,
7,-162380.68,-162364.79,-162374.07,,,,,,,,
7,-159598.64,-159581.86,-159606.24,,,,,,,,
8,-159816.89,-159791.27,-159800.84,,,,,,,,
8,-158489.15,-158478.94,-158502.72
8,-159772.5,-159761,-159329.39
8,-162206.37,-162219.24,-162198.49
8,-157450.78,-157422.16,-157457.21
8,-157865.91,-157830.98,-157857.98
8,-159476,-159468.96,-159478.68
8,-159765.21,-159733.91,-159751.49
8,-162380.68,-162375.56,-162370.49
8,-159598.64,-159580.01,-159606.83
9,-159816.89,-159796.83,-159871.29
9,-158489.15,-158483.01,-158486.37
9,-159772.5,-159762.32,-159353.14
9,-162206.37,-162212,-162208.62
9,-157450.78,-157428.8,-157429.81
9,-157865.91,-157830.57,-157851.67
9,-159476,-159459.18,-159468.86
9,-159765.21,-159732.52,-159753.84
9,-162380.68,-162391.67,-162360.18
9,-159598.64,-159583.19,-159569.33
10,-159816.89,-159819.24,-159801.09
10,-158489.15,-158517.3,-158480.14
10,-159772.5,-159335.61,-159339.6
10,-162206.37,-162137.98,-162187.69
10,-157450.78,-157444.9,-157377.6
10,-157865.91,-157840,-157825.2
10,-159476,-159460.03,-159464.95
10,-159765.21,-159744.46,-159745.91
10,-162380.68,-162382.87,-162358.9
10,-159598.64,-159584.96,-159573.79
11,-159816.89,-159791.19,-159808.08
11,-158489.15,-158508.87,-158480.46
11,-159772.5,-159759.2,-159340.99
11,-162206.37,-162152.31,-162162.97
11,-157450.78,-157412.85,-157461.16
11,-157865.91,-157826.41,-158290.81
11,-159476,-159464.27,-159459.76
11,-159765.21,-159755.03,-159709.75
11,-162380.68,-162362.57,-162371.15
11,-159598.64,-159593.96,-159558.93
12,-159816.89,-159796.3,-159795.31
12,-158489.15,-158484.17,-158528.89
12,-159772.5,-159739.08,-159402.29
12,-162206.37,-162151.68,-162174.42
12,-157450.78,-157420.94,-157444.65
12,-157865.91,-157823.34,-157852.67
12,-159476,-159494.87,-159460.44
12,-159765.21,-159754.42,-159735.58
12,-162380.68,-162399.74,-162382.81
12,-159598.64,-159590.06,-159558.89
13,-159816.89,-159801.79,-159792.43
13,-158489.15,-158537.07,-158464.46
13,-159772.5,-159751.36,-159336.95
13,-162206.37,-162201.12,-162207.72
13,-157450.78,-157437.18,-157455.08
13,-157865.91,-157860.58,-157858.12
13,-159476,-159464.81,-159426.69
13,-159765.21,-159756.72,-159688.08
13,-162380.68,-162374.03,-162354.95
13,-159598.64,-159579.64,-159587.77
14,-159816.89,-159806.77,-159818.33
14,-158489.15,-158509.1,-158441.75
14,-159772.5,-159739.3,-159322.2
14,-162206.37,-162165.48,-162135.83
14,-157450.78,-157435.42,-157445.64
14,-157865.91,-157856.32,-157862.38
14,-159476,-159463.48,-159462.14
14,-159765.21,-159726.64,-159750.17
14,-162380.68,-162401.15,-162365.1
14,-159598.64,-159591.48,-159535.63
15,-159816.89,-159829.35,-159796.17
15,-158489.15,-158531.51,-158449.86
15,-159772.5,-159755.02,-159330.2
15,-162206.37,-162123.83,-162119.93
15,-157450.78,-157424.59,-157434.85
15,-157865.91,-157823.81,-157844.09
15,-159476,-159459.97,-159462.45
15,-159765.21,-159735.03,-159743.47
15,-162380.68,-162388.26,-162349.17
15,-159598.64,-159597.83,-159607.4
